yearmonth,date,reviewID,reviewerID,reviewContent,rating,usefulCount,coolCount,funnyCount,flagged,hotelID,year,month,yearmonth
2007-5,13-May-07,jxJ-aquB-o9gt41ZI-,M1YMMS7FcggrMog8fL9h7Q,"Gorgeous foyer. Clean rooms. SMALL rooms. I prefer River North, except for the proximity to Grant Park and the ArtIC And there's a FANTASTIC Chop House in the same street (Something Chop House and Wine Bar.... hmmm... When I remember it I'll post it back), but seriously, it's in the same street (perpendicular to the lake, not parallel) and it's got THE BEST stuffed mozzarella appetizers. I still drool at them. And evidently they have really good steak.  But again, this comment is lost on me...",2,1,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2007,5,2007-5
2007-5,13-May-07,jxJ-aquB-o9gt41ZI-_lOA,M1YMMS7FcggrMog8fL9h7Q,"Gorgeous foyer. Clean rooms. SMALL rooms. I prefer River North, except for the proximity to Grant Park and the ArtIC And there's a FANTASTIC Chop House in the same street (Something Chop House and Wine Bar.... hmmm... When I remember it I'll post it back), but seriously, it's in the same street (perpendicular to the lake, not parallel) and it's got THE BEST stuffed mozzarella appetizers. I still drool at them. And evidently they have really good steak.  But again, this comment is lost on me...",2,1,0,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2007,5,2007-5
2007-9,02-Sep-07,d0vcw7U35acjfSQTrrrtYA,-7KsknNh6tpHJPjs52sYsA,"I went to a wedding reception at the Palmer House and the Empire room was the perfect setting.  It's old school with black and gold decor and it's just beautiful.  Elegant and very fun.   My one complaint was that the food was pretty bland - which I guess is to be expected when you have 200 people eating steak and chicken at the same time.  The initial course - butternut squash soup was awesome and it sort of went downhill from there.  Don't get me wrong, it was still plated beautifully and it tasted ok, it just wasn't awesome.  And the cake was way too rich.  But overall, a beautiful setting for a happy event, good service, well thought out and nice presentation.",4,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2007,9,2007-9
2007-9,05-Sep-07,wMj79yzch-8vFf76D,Rho7FqhAH9eRdYi24p-0Eg,"We just had a long weekend getaway to Chicago and the Palmer House took good care of us. We prepaid online for a room on the Executive Levels and got a great deal. The room was large, the bed was so comfy, the sheets were very nice. The lounge on the 23rd floor had cookies out in the afternoon, hot hors d'ouevres in the evening (plus a cash bar), light breakfast fare in the morning, and coffee and drinks all day long. This was a really nice bonus to staying there. The lobby is beautiful, the bar closes a bit early though for a city like Chicago. The staff was friendly, the location is near several train lines for zipping around, the nearby restaurants weren't the absolute best but overall I am very glad we chose to stay here.",4,1,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2007,9,2007-9
2007-9,05-Sep-07,wMj79yzch-8vFf76D_dIQA,Rho7FqhAH9eRdYi24p-0Eg,"We just had a long weekend getaway to Chicago and the Palmer House took good care of us. We prepaid online for a room on the Executive Levels and got a great deal. The room was large, the bed was so comfy, the sheets were very nice. The lounge on the 23rd floor had cookies out in the afternoon, hot hors d'ouevres in the evening (plus a cash bar), light breakfast fare in the morning, and coffee and drinks all day long. This was a really nice bonus to staying there. The lobby is beautiful, the bar closes a bit early though for a city like Chicago. The staff was friendly, the location is near several train lines for zipping around, the nearby restaurants weren't the absolute best but overall I am very glad we chose to stay here.",4,1,0,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2007,9,2007-9
2008-2,27-Feb-08,7Z,FSrAA4J7L8Jv9ZJpTCU1Zg,"I'm sorry... I don't see the big deal. If my bed were in the lobby I would give this place 6 stars, but it was not so... Valet:                     GREAT Front Desk:          GREAT Cool Furniture:    Check Boutiques:           Check Room:                  Small and decorated by my grandma Tub:                      The best place on Earth!! I took 3 baths in 24 hrs Bed:                      Like Sleeping on AIR! I was going to give this place 3 stars but the tub is Olympic size and carries two of the four stars. Third star goes to the staff and the fourth star actually goes to....... Millers Pub!",4,1,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,2,2008-2
2008-2,19-Feb-08,mssu2daL5Dae6H2VNcj6Ug,BTFWoaw8w7ABMhoWYkCpqA,"The hotel is very nicely done up. Exactly what you would expect from a prime location such as this one. The hotel is a blend between old fashioned style and modern ikea furniture. The room was really nice and I loved the fact it was sweepingly large. I had a fantastic time here. I would like to return to this hotel, if they were having another special like they were when I stayed. Otherwise I would imagine this place would be pretty pricey.",4,4,0,2,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,2,2008-2
2008-2,27-Feb-08,7Z_vmsB2_Go-ChwwqlKohg,FSrAA4J7L8Jv9ZJpTCU1Zg,"I'm sorry... I don't see the big deal. If my bed were in the lobby I would give this place 6 stars, but it was not so... Valet:                     GREAT Front Desk:          GREAT Cool Furniture:    Check Boutiques:           Check Room:                  Small and decorated by my grandma Tub:                      The best place on Earth!! I took 3 baths in 24 hrs Bed:                      Like Sleeping on AIR! I was going to give this place 3 stars but the tub is Olympic size and carries two of the four stars. Third star goes to the staff and the fourth star actually goes to....... Millers Pub!",4,1,1,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2008,2,2008-2
2008-8,16-Aug-08,0AobeQFCa8CpDL3tIaFwzA,omJUEayO0J0UfNEpW3QnTw,"Busy, busy, busy.  I think I counted seven large events going on at the Palmer House during the two nights we were there.  Think a medley of professional salsa dancers, junior high cheer squads, and large wedding parties.  I found that most of this activity was contained on the first few floors and didn't really translate to much traffic in our hallway. I agree that the rooms are small - but really, how much room do you actually need to sleep? - There is so much going on right outside the hotel that I find it hard to see why people would want to spend the entirety of their stay indoors. And if they did, the beds in the newly renovated rooms are plush and the shades completely darken the place.   One thing that bugged me was the lack of cell phone reception throughout much of the hotel.  I could hardly get a signal - which either says something about Sprint or something about the bunker-like construction methods used in the 1800s.   Regardless, the rates we paid (via Priceline) were super cheap, about $80 before taxes and fees.  So, I can deal with a small room and having to call for more towels or pillows.  One thing that bugged me was the parking, it was super expensive (about $30 - and that was the special deal).  Anyway, you don't really need a car here because you are steps from the El and a lot of other points of interest are right outside your door. Bottom line: if you get a good price, go for it.",4,3,3,1,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2008-8,19-Aug-08,mrTSDW9HqZHdi47WBvTfGg,5bgsQymr8HDT3tyC1N3Uhg,"at the time of my stay, they were doing some major renovation to the place. so i felt a little cheated for not having able to experience what it had to offer. although  both the restaurant and the bar were open, i was not able to take advantage of it. the stay was very nice, i had a double bed room. the room has a very old, antique-ish feel to it. the bathroom was nice and clean but it was not fully stocked with all the bath essentials (shampoo, conditioner and lotion). i might also note that the bathroom had a ""mildew"" smell....ya.....pretty gross.  the room came with all the normal amenities that you would expect from a hotel EXCEPT a coffee maker! i am a dedicated morning coffee drinker and not having a coffee maker in the room really ruins my stay. =( i like the location of the hotel because its a short walk to any fast restaurant or a mini mart if you want to go grab a snack or something. its in the theater district so if you're in town for a show, this would be a good spot to stay. its also VERY close to the Art Museum (just one block) which also means a short walk to Grant and Millennium Park.   just a note, since they dont have coffee makers in their room, it does appear that they are opening a starbucks in the lobby area. there's also a cornery bakery right next door. overall my stay was pleasant and a descent experience at a historical chicago hotel.",3,3,2,1,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2008-8,10-Aug-08,7dzdQCI4B7suRSossM0QTw,cpUM9bOVufwQzpJcmBumuw,"I stayed here for business, and I was assigned an oversized closet of a room with a full bed. It was the smallest room ever. I complained to the front desk and so they gave me a double room instead, which was considerably larger. I stayed here while they were renovating so the rooms were outdated and weren't the best.",2,2,1,1,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2008-8,15-Aug-08,r1II89Fw9Dr842mUpXI0MQ,0gNrgNzTRZvgCfVLc932og,"The lobby is breathtaking.  It is sooooo beautiful.  Coming here as a little girl, I was always in awe.  It is a famous and historic hotel in downtown Chicago and has been around since the 1920s.  Potter Palmer built the orginal in 1871 but it burnt down.  Definitely stay here if you get the chance, especially if you're a history buff.  I have always thought that having a wedding in the ballroom here would be amazing.  My sister and I also used to really enjoy the pool when we were younger and they seemed to have a nice fitness room. Give it a try, it is definitely a change of pace from all of the other chain hotels in the city.",5,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2008-8,08-Aug-08,T-EFDEWkeZFFTdbOg7QYOA,tWBHvMmO0jkdN2T_sJBkxw,"Something always seems to go wrong when I visit Chicago, last time our car got towed at 2am (course our luggage, maps & most $ was in the car ) so we had to wander the streets of Chicago aimlessly... This time the issue was the hotel: Plus 1 star: location Plus 1 star: gorgeous lobby, historical hotel Minus 1 star- for PAPER THIN WALLS Minus 1 star- for being woken by maid each morning Minus 1 star for not only not allowing my boyfriend in the room when his card stopped working & not being helpful to him in any way. I have travelled throughout the US, Europe & Asia and I don't remember any hotel, motel, or any other lodging where the maids come before checkout or at least 11am.  This might not have been that problemmatic but the paperthin walls did not help. FRI:    9:23am Maid service next door (to those that flew in late & are on CA time that felt like 7:23am about 5 hours BEFORE I had planned to wake).   We're not talking about faintly hearing the vaccuum, we're talking hearing her push all the hangers in the closet together ... that's how thin the walls were. I crawled out of bed & put a ""do not disturb"" sign up.  A few minutes later our door starts shaking and this weird noise like someone's rubbing against the door Apparently they polish them every morning  -- I'd have to say she didn't read the sign about NOT DISTURBING US. Later that night got to listen to our neighbors have sex. SAT:  Maid service comes through at 8:30am! (which, to someone on PST felt like 6:30am wakeup, esp. after being at a wedding reception until midnight the night before!). SUN.   3:14am woken by screaming fight next door (apparently some jerk ditched his GF).   7:00am woken up by someone in the room on the other side decided it was a good time to SING. 8:30-9:30am Maid knocking on neighbouring doors woke us up later that morning (we'd finally learned to put the do not disturb (or polish our door!) sign up at night). Went out to visit a friend about an hour outside of Chicago.  Get a call from my BF.  His card won't work on the room. He went to the front desk & since his name wasn't on the reservation they wouldn't give him a new card (Fair enough, appreciate their not giving one to just anyone). What really pissed me off was they refused to consider any reasonable alternative to prove his claim or assist him. I mean he did have a hotel card, he knew the name of the person in the room, he knew the room #, he could describe the room & our luggage, offered to give them the credit card # the room was charged too - he wasn't just coming in randomly & fishing for info. They told him having me call & verify him would NOT be enough to let him in. He then asked them to look at the key and see if they could see why it didn't work.  Theyclaimed the key was fine and if it was valid it should work (accusing him of not only having found a key but mysteriously knowing the room # & name associated with the card)?.  They also refused to send someone up with him so he could prove the card didn't work and that his belongings were really in the room. So he called me upset that he wasn't allowed in our room, he was exhausted from a long day and I was not expected back for at least 4 hours and was at least an hour away. I called and demanded to speak to someone who would attempt to assist him and got someone to add his name to the reservation and they let him in - but it definitely soured our afternoon. Other things that I would not have bothering mentioning except that I was so sleep deprived & cranky about the above instances : The front of the building is under construction (which is a shame, would've liked to see it).  It would have been nice if they told me this on the phone when I called for the address, they gave me the street that had no entrance, instead of the street that had a working entrance). And I suppose it was my fault for asking for closest subway line when coming from the airport (not knowing there were separate train/non-train lines), so instead of giving us the stop 15 feet in front of the front door that was exactly on our line from the airport - I was told to get out at a stop about 5 blocks away... still, deductive reasoning should have told her that confused tourist from out of town coming from Midway on the Orange line, probably wants the closest Orange line stop, not to spend more time transferring to some other line for a further stop & then toting luggage to the hotel.",2,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2008-8,22-Aug-08,6h7Sd5qmXiLM0tLl0deOHw,xrFeos05I1VtsY6NVeB6OA,"I attended a wedding here last month, and it was fantastic!  The room was beautiful and the sauteed garlic shrimp appetizer was to die for.  Seriously, that was probably the best thing I've ever eaten at a wedding.  I want to go back for more!  It was a pretty big wedding of over 300 people, but I dont think that is an excuse for nothing but exceptional service.  Our corner table was forgotten a few times, and I even had to get up to ask someone to deliver our pasta dish.  All in all, the food was good even if the service wasn't.  Plus, I loved the room the wedding was in.  I'd definitely recommend checking it out for your wedding.",5,0,0,0,Y,2m_KBLL9Bk_dwZ5n5b11nw,2008,8,2008-8
2009-1,15-Jan-09,8pkIdOuQf6pTAt2p2FV2HQ,Dr5Ur42YH2oxGIGNY6ylkA,I spent New Year's Eve here and had a spectacular time! First the bar in the lobby had some great drinks. The empire room didn't have anything going on so my date and I went in and talked and slow danced and then went for more drinks. We didn't make reservations for dinner so had dinner at the Lockwood. Great service. My food was okay and my date's was phnomenal! He took me on a tour of the place and told me about some of the history. And of course the lobby is breathtaking. I'm not so sure why so many people are unhappy with their rooms because there's so much to do outside of the room - how much time do you really spend in there? We spent about 5 hours total between getting ready and having breakfast and a catchin a few zzzzz's. The bed was sooo comfortable! And the showers get really hot and have good water pressure. It was enough room for two people to relax and not feel cramped. My only gripe is that we ordered some room service and we paid $40 for 4 half sized diet cokes on ice. And heads up! Any room service you order there is a fee and a tip added on for you.... I caught myself tipping my breakfast guy $5+. Had I done that He would have gotten over $12 for rolling our cart up to our room..... Breakfast was good but not $50 good.,4,1,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-1,05-Jan-09,ZdR0uOLK1QeKUP1sVjQ,W5RIYsmqgwIdmB8-whA9vw,"Was excited to stay at such a historic hotel...but instead of old fashioned charm..just ended up with old. The rooms are super small and noisy (requested a room change so we ended up with a quieter room that was slightly larger), and it's really hard to even turn around in the small bathroom. But the bed is comfy and all the neccessities are there. Plus it's such a great location; and it's steps away from the train. I got such a great deal for the hotel on priceline that I was satisfied with what I got...but if I had to pay even remotely their regular price it'd be 2 stars tops. Oh...and the hairdryer is hanging on back of the door...just in case you're looking...",3,1,0,1,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-1,14-Jan-09,sGqp32jFwvqiJUTjyRb,gOPm2yoe38_OM6x4NIwLEw,"I love gilded, I just can't help myself.  Old is just so good looking.",5,0,1,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-1,07-Jan-09,8xTpkrak8h-uubXEX1lIzA,REcDFJ6P-74fHUcWwX0f_g,"I don't know if I have anything new to add- I agree with almost every statement here to some degree.  The lobby is luxurious and even nicer with Christmas trees in it, the location is great, the room is a bit small but the beds are comfy, the bathroom was a good size.  they do get you with the extra charge for internet and no breakfast.  Total bill was around 400 for 2 nights including parking, which is not bad for NYE in downtown Chicago, although we probably could have done better.  We stayed in a renovated room so the furnishings were fine, and we could hear our neighbors and the El go by, but very quietly, so I didn't think it was an intrusion.  The view wasn't breathtaking, but I could see some skyscrapers and we were high up.  I would have liked a mini-fridge to keep left-overs in.  It was nice that we could stay in the parking garage until 5 even though check-out was at 11.    All in all, a fine place, probably a 3.5 more than a 3.",3,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-1,05-Jan-09,ZdR0uOLK1QeKUP1sVjQ_lQ,W5RIYsmqgwIdmB8-whA9vw,"Was excited to stay at such a historic hotel...but instead of old fashioned charm..just ended up with old. The rooms are super small and noisy (requested a room change so we ended up with a quieter room that was slightly larger), and it's really hard to even turn around in the small bathroom. But the bed is comfy and all the neccessities are there. Plus it's such a great location; and it's steps away from the train. I got such a great deal for the hotel on priceline that I was satisfied with what I got...but if I had to pay even remotely their regular price it'd be 2 stars tops. Oh...and the hairdryer is hanging on back of the door...just in case you're looking...",3,1,0,1,YR,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-1,14-Jan-09,sGqp32jFwvqiJUTjyRb_wA,gOPm2yoe38_OM6x4NIwLEw,"I love gilded, I just can't help myself.  Old is just so good looking.",5,0,1,0,YR,2m_KBLL9Bk_dwZ5n5b11nw,2009,1,2009-1
2009-6,30-Jun-09,04lAmB,yZyUc9ChBerAAeUY8ygSfw,"Grande- with the extra 'e' at the end. Stayed 4 nights. Room: Large. But that might not be what you get. The building is sliced up somewhat asymmetrically. I sprayed the walls with Luminol like on CSI and didn't find any arterial spatter or jizzola. (that would be funny and gross) Clean and tidy except for a squished mosquito on the wall. Quiet despite being right on the main drag AND next to the 'el' train. Staff is professional and helpful. Skip the restaurant for breakfast. And probably skip it for dinner. The Bar and Lounge are the pits. Borrrring alcohol selection. Dullsville. Dog whiz on tap.  A hotel as nice as this serving mass market Scotch is sinful. Pool is a disappointment because 1) it's small, and 2) because the chlorine is so scortchingly strong! I used to have nipples but they got bleached off. Hot tub- Good. I hung out with 8 guys from the American Gay Volleyball Assoc.. They were a little nervous with a straight guy in there, but I told 'em I was from San Francisco and they relaxed right away. Plus I know which pocket not to put the orange handkerchief. That won me some points. If you like to have yourself photographed, this is the place for it. No matter where you stand, you'll look good. Weddings seem to occur every 15 minutes. Cons: - It's big and tall. I forgot my sunglasses in the room and if fell like a 2k run back to get 'em. - The Hilton chain buffed away some of the charm. The sucky bar, the Charfucks in the basement. Stuff like that. - The period this hotel flourished in feels done and gone. They need a jazz trio playing real jazz in the lounge. Bonus tips. The fireplace in the room isn't real. Don't burn your free copy of USA Today in there.",4,4,5,8,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,6,2009-6
2009-6,15-Jun-09,98lValrFqqeocyPl1mGssQ,WTjT-gplKfrSeuTAY9G0-w,"The hotel lobby is beautiful, and very historic.  We really enjoyed hanging out here after hours.  The staff is generally helpful.  The location is great, and with the shops and the starbucks just down the elevator on street level, it's very convenient.  Oh, and the bathroom was also very beautiful. However, we found our room to be too small - there was really no space at all to even walk around.  The bed was so soft my husband opted to sleep on the floor one night.  The concierge helped us out a lot, but you can't reach them by phone - it just keeps ringing.  And for some weird reason, the stores cannot give you any change - they are not allowed and you HAVE to ask the hotel staff for change.  Weird.  I think the price is too high considering the cons.",3,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,6,2009-6
2009-6,15-Jun-09,CwiaQeMbiWWlWgXNz6q9Zg,nCSaVr64W2Z0dnGau9BrOQ,"I think this hotel is gorgeous, and the reason it got three stars (instead of two) is its location. I spent a few nights here with my mom for her birthday and we left our car at the hotel, easily walking around the best parts of Chicago and seeing the city the best way. However, I do think the rooms are on the small and simple side for the money you're paying.",3,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,6,2009-6
2009-6,12-Jun-09,JRz3sweYb6K,FUa2UYW8T8SeXtKdDzx3Bw,"I just adore this hotel. It really is gorgeous. I'm a big fan of anything with a great history behind it, and this hotel is chalk full of interesting history. I love the architecture and how I feel like I'm stepping back into the 1940s-1950s whenever I walk the halls with the movie stars from one of the best eras in Hollywood. I've been here twice (though didn't stay the night-my mom did) and I can't wait to go back just to take it all in again. This time I went with my mom, boyfriend, and his mom to wander around and check out all the fancy stuff. There was a wedding reception and a prom going on, so we didn't see the smaller rooms, but we did venture into the Grand Ballroom, and boy was it ever grand! They don't call it that for nothing, let me tell you. The chandeliers were just gorgeous. We wandered all over and encountered the most beautiful piano I've ever seen. Sadly they'd locked it (too many people trying to play it, I imagine), so I didn't get to see what I'm sure are beautiful keys. Sigh. Maybe someday. I'm not entirely sure what Gene is talking about, I have yet to encounter a small room there. We booked a room both times using hotwire and were able to score a $78 (for a saturday and sunday, friday for my bf's mom was $73) deal. Good sized room, double beds, and with a window looking at another wing of the hotel. The only thing I didn't really like was that there was no screen in the window, but as I wouldn't go there with kids, it's not that big of a deal. I can't wait until I can stay there myself (though it'll be a while since I live one el stop away).",4,0,0,0,N,2m_KBLL9Bk_dwZ5n5b11nw,2009,6,2009-6
2009-6,30-Jun-09,04lAmB_WvitjaSv1Qj1gPg,yZyUc9ChBerAAeUY8ygSfw,"Grande- with the extra 'e' at the end. Stayed 4 nights. Room: Large. But that might not be what you get. The building is sliced up somewhat asymmetrically. I sprayed the walls with Luminol like on CSI and didn't find any arterial spatter or jizzola. (that would be funny and gross) Clean and tidy except for a squished mosquito on the wall. Quiet despite being right on the main drag AND next to the 'el' train. Staff is professional and helpful. Skip the restaurant for breakfast. And probably skip it for dinner. The Bar and Lounge are the pits. Borrrring alcohol selection. Dullsville. Dog whiz on tap.  A hotel as nice as this serving mass market Scotch is sinful. Pool is a disappointment because 1) it's small, and 2) because the chlorine is so scortchingly strong! I used to have nipples but they got bleached off. Hot tub- Good. I hung out with 8 guys from the American Gay Volleyball Assoc.. They were a little nervous with a straight guy in there, but I told 'em I was from San Francisco and they relaxed right away. Plus I know which pocket not to put the orange handkerchief. That won me some points. If you like to have yourself photographed, this is the place for it. No matter where you stand, you'll look good. Weddings seem to occur every 15 minutes. Cons: - It's big and tall. I forgot my sunglasses in the room and if fell like a 2k run back to get 'em. - The Hilton chain buffed away some of the charm. The sucky bar, the Charfucks in the basement. Stuff like that. - The period this hotel flourished in feels done and gone. They need a jazz trio playing real jazz in the lounge. Bonus tips. The fireplace in the room isn't real. Don't burn your free copy of USA Today in there.",4,4,5,8,YR,2m_KBLL9Bk_dwZ5n5b11nw,2009,6,2009-6
